ID,Name,spacegroup,a,b,c,alpha,beta,gamma,volume,volume/atom,band_gap,density,e_above_hull,e_above_hull/atom,efermi,energy,energy/atom,final_energy_per_atom,formation_energy_per_atom,nelements,nsites
mp-252,BeTe,216,4.0073721188828975,4.0073721188828975,4.0073721188828975,60.00000000000001,60.00000000000001,60.00000000000001,45.50551345066509,22.752756725332546,2.2113000000000005,4.985107253660792,0.0,0.0,4.49222706,-7.60077904,-3.80038952,-3.80038952,-0.3590326225,2,2
mp-2534,GaAs,216,4.065992685256824,4.065992685256824,4.065992685256824,60.00000000000001,60.00000000000001,60.00000000000001,47.531856924098754,23.765928462049377,0.1839000000000004,5.053200624084066,0.0,0.0,2.67543991,-8.38680317,-4.193401585,-4.193401585,-0.35010259500000007,2,2
mp-256,LaN,225,3.754134553122997,3.754134553122997,3.754134553122997,60.00000000000001,60.00000000000001,60.00000000000001,37.412308332858075,18.706154166429037,0.11019999999999985,6.786981166317754,0.014073262500000183,0.007036631250000092,7.90987773,-15.88589541,-7.942947705,-7.942947705,-1.4987080586899992,2,2
mp-2599,NdN,225,3.6523748162424408,3.6523748162424408,3.6523748162424408,60.00000000000001,60.00000000000001,60.00000000000001,34.45172888534057,17.225864442670286,0.43039999999999967,7.627429945917087,0.0,0.0,3.72117213,-15.80867762,-7.90433881,-7.90433881,-1.544031111189999,2,2
mp-2612,GeTe,225,4.248704834874741,4.248704834874741,4.248704834874741,60.00000000000001,60.00000000000001,60.00000000000001,54.23188312267842,27.11594156133921,0.6197999999999997,6.1311966974080265,0.02030869999999929,0.010154349999999646,5.8505062,-7.91015514,-3.95507757,-3.95507757,-0.07467128999999995,2,2
mp-2667,CsAu,221,4.381061,4.381061,4.381061,90.0,90.0,90.0,84.08875073836832,42.04437536918416,1.9857,6.514133851114585,0.0,0.0,0.44715362,-4.7821053,-2.39105265,-2.39105265,-0.3064106939655171,2,2
mp-2857,ScN,225,3.194927640502989,3.194927640502989,3.194927640502989,59.99999999999999,59.99999999999999,59.99999999999999,23.060466148972292,11.530233074486146,0.3250000000000002,4.245782373273551,0.0,0.0,5.46410467,-18.49312991,-9.246564955,-9.246564955,-2.1040943086899997,2,2
mp-343,PrN,225,3.6918921858158313,3.6918921858158313,3.6918921858158313,59.99999999999999,59.99999999999999,59.99999999999999,35.582137347672045,17.791068673836023,0.41249999999999964,7.229507537404175,0.0,0.0,3.79085564,-15.6793931,-7.83969655,-7.83969655,-1.4730108836899998,2,2
mp-422,BeS,216,3.44680614702945,3.44680614702945,3.44680614702945,60.00000000000001,60.00000000000001,60.00000000000001,28.95580068612236,14.47790034306118,3.2356,2.3556684270702766,0.0,0.0,3.52211226,-9.98926115,-4.994630575,-4.994630575,-1.388429209062501,2,2
mp-505366,AuBr,138,4.37978,4.37978,13.297405,90.0,90.0,90.0,255.07711036667843,31.884638795834803,2.058,7.209653513094369,0.0,0.0,0.37593925,-20.73075766,-2.5913447075,-2.5913447075,-0.1359406674999999,2,8
mp-568560,TlBr,225,4.794954722836286,4.794954722836286,4.794954722836286,60.00000000000001,60.00000000000001,60.00000000000001,77.95402320881225,38.97701160440612,2.3494,6.055751176866383,0.0,0.0,0.97446138,-5.76702343,-2.883511715,-2.883511715,-0.8842219849999999,2,2
mp-569639,TlCl,225,4.618630575879608,4.618630575879608,4.618630575879608,60.00000000000001,60.00000000000001,60.00000000000001,69.66661047677216,34.83330523838608,2.5976,5.716620099833653,0.0,0.0,1.18964169,-6.24516845,-3.122584225,-3.122584225,-1.3148322766300002,2,2
mp-570276,ZrZn,221,3.344994,3.344994,3.344994,90.0,90.0,90.0,37.427087222911254,18.713543611455627,0.0230999999999999,6.94938438756032,0.0,0.0,3.85527384,-10.37633316,-5.18816658,-5.18816658,-0.28458596250000046,2,2
mp-571102,TlI,225,5.04740174321482,5.04740174321482,5.04740174321482,60.00000000000001,60.00000000000001,60.00000000000001,90.92611225733575,45.46305612866787,2.4360999999999997,6.05014632996599,0.0,0.0,1.75292772,-5.24873089,-2.624365445,-2.624365445,-0.6815344525,2,2
