pf_log,T,density,ave:en_allen,ave:vdw_radius,sum:num_unfilled,var:boiling_point,var:hhi_p,var:num_unfilled,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:hhi_p,max:num_unfilled,max:num_p_unfilled,max:num_s_unfilled,min:electron_affinity,min:lattice_constant,min:num_s_valence,DC1,PC2,SC4
1.286,500,3.321935199,8.754,226.5,2,216839.2356,1518363.496,0,0,0,0,6000,1,0,1,0.471626,3.75,1,13.78250195,0.078206183,1440.369593
1.424,600,6.514133851,7.614,278.5,2,1132521.64,6002500,0,0,0,0,6000,1,0,1,0.471626,4.08,1,13.03234072,1,1284.733422
1.458,800,5.969066765,11.25801001,197.5,14,3436574.44,16810000,16,2.25,0,0,9500,11,3,0,-1.4,3.67,2,13.13603693,1,1377.523826
1.494,800,3.870625262,8.754,226.5,2,216839.2356,1518363.496,0,0,0,0,6000,1,0,1,0.471626,3.75,1,14.56961912,0.074929832,1128.060488
1.506,700,6.786981166,10.95262313,199,12,3335371.69,16810000,9,2.25,0,0,9500,9,3,0,-1.4,3.75,2,13.4850741,1,1425.688017
1.525,1000,2.355668427,12.3165,166.5,2,1594128.458,13322500,1,1,0,0,8000,2,2,0,-2.4,2.29,2,13.38737916,1,1608.124305
1.529,600,4.553779458,21.3625,163,24,1079991,16875,0,0.1875,0.1875,0.1875,1500,1,1,1,1.302,4.09,1,14.19945854,0.013334124,988.9236374
1.531,800,8.356280164,12.65796096,195.5,11,986644.89,16810000,6.25,2.25,0,0,9500,8,3,0,-1.4,4.039,2,14.29266016,1,1377.30132
1.531,500,2.610597083,8.8935,206.5,2,221238.5296,1518363.496,0,0,0,0,6000,1,0,1,0.48592,3.75,1,13.95434882,0.078033828,1303.092988
1.555,500,7.627429946,11.26365188,197,13,2662771.24,16810000,12.25,2.25,0,0,9500,10,3,0,-1.4,3.66,2,13.33274187,1,1818.644641
1.623,1000,5.96970124,8.427623128,214,12,2036329,9610000,9,2.25,0,0,9500,9,3,0,0.47,3.75,2,14.01495867,1,1162.542166
1.651,1000,8.090510191,18.72019502,171.5,6,676498.025,6250000,4,4,0,0,6500,5,5,0,0.377,3.46,2,14.2294684,0.658437659,1444.762861
1.732,500,3.554949583,8.924,270.5,2,61033.7025,302500,0,0.25,0.25,0.25,6000,1,1,1,0.471626,6.05,1,14.47806583,0.015580834,1142.25039
1.837,900,6.979307319,13.29519502,197,6,404814.0625,640000,4,4,0,0,6500,5,5,0,0.377,3.46,2,12.69246709,0.069210763,1460.418018
1.845,900,7.068918856,14.26019502,190.5,6,488670.9025,2560000,4,4,0,0,6500,5,5,0,0.377,3.46,2,12.89388972,0.276843052,1435.606058
1.845,800,4.60189752,12.3805,193.5,12,3121582.24,18062500,9,2.25,0,0,9800,9,3,0,-1.4,3.65,2,12.75177934,1,1434.920368
1.868,600,5.320322249,12.5,204.5,2,1027689.063,3422500,0,0.25,0.25,0.25,4900,1,1,1,1.302,4.09,1,13.99123848,0.216164084,1086.943364
1.882,700,6.514133851,7.614,278.5,2,1132521.64,6002500,0,0,0,0,6000,1,0,1,0.471626,4.08,1,13.34064208,1,1180.535996
1.914,600,4.249038612,8.924,270.5,2,61033.7025,302500,0,0.25,0.25,0.25,6000,1,1,1,0.471626,6.05,1,14.74899552,0.015357003,1033.069508
1.938,800,5.150549586,11.429,196.5,12,50625,2102500,4,4,0,0,3400,8,4,0,0.426,3.23,2,13.43124088,0.990785654,4054.698672
2.015,800,6.514133851,7.614,278.5,2,1132521.64,6002500,0,0,0,0,6000,1,0,1,0.471626,4.08,1,13.60770486,1,1102.387926
2.023,800,2.530430196,15.096,164.5,2,266844.5649,490000,0,0.25,0.25,0.25,2900,1,1,1,0.618049,3.49,1,14.83758135,0.086896786,971.0082683
2.046,500,4.553779458,21.3625,163,24,1079991,16875,0,0.1875,0.1875,0.1875,1500,1,1,1,1.302,4.09,1,13.83481543,0.015767344,1009.644929
2.095,600,9.899554077,15.38519502,175.5,8,682771.69,6760000,1,1,0,0,6500,5,5,0,-1.4,3.46,2,14.42287183,1,1541.452262
2.114,900,3.870625262,8.754,226.5,2,216839.2356,1518363.496,0,0,0,0,6000,1,0,1,0.471626,3.75,1,14.80518519,0.073897879,1070.225469
2.115,1000,6.819963595,12.98519502,188,8,346332.25,5062500,1,1,0,0,6500,5,5,0,0.377,3.46,2,12.39771211,0.654767679,1334.177511
2.192,600,3.321935199,8.754,226.5,2,216839.2356,1518363.496,0,0,0,0,6000,1,0,1,0.471626,3.75,1,14.14714506,0.077082688,1301.565547
2.207,700,9.899554077,15.38519502,175.5,8,682771.69,6760000,1,1,0,0,6500,5,5,0,-1.4,3.46,2,14.73117319,1,1450.463903
