,ID,pf_log,var:boiling_point,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:num_unfilled,min:electron_affinity,min:lattice_constant
146,mp-570276,-0.602408934,3010225.0,0.0,0.0,0.0,8,0.426,2.66
147,mp-569639,-1.330478607,556068.49,4.0,0.0,0.0,5,0.377,3.46
148,mp-568560,-2.209777525,488670.9025,4.0,0.0,0.0,5,0.377,3.46
149,mp-505366,4.619039313,1888013.403,0.25,0.25,0.25,1,2.30863,4.08
150,mp-422,-0.441522636,1594128.458,1.0,0.0,0.0,2,-2.4,2.29
151,mp-343,3.464444063,3436574.44,2.25,0.0,0.0,11,-1.4,3.67
152,mp-2857,-2.17237648,2290076.89,2.25,0.0,0.0,9,-1.4,3.31
153,mp-2667,2.015340312,1132521.64,0.0,0.0,0.0,1,0.471626,4.08
154,mp-2612,8.058755367,846400.0,1.0,0.0,0.0,4,1.232712,4.45
155,mp-2599,4.402049893,2662771.24,2.25,0.0,0.0,10,-1.4,3.66
156,mp-256,2.680428438,3335371.69,2.25,0.0,0.0,9,-1.4,3.75
157,mp-2534,5.221689569,810000.0,1.0,0.0,0.0,5,0.43,4.13
158,mp-252,5.125748537,980100.0,1.0,0.0,0.0,2,-2.4,2.29
159,mp-2490,5.697858641,1126782.25,1.0,0.0,0.0,5,0.43,4.51
160,mp-24721,4.306266913,221238.5296,0.0,0.0,0.0,1,0.48592,3.75
161,mp-23703,6.679370757,301329.6342,0.0,0.0,0.0,1,0.618049,3.49
162,mp-23303,5.671581962,98941.7025,0.25,0.25,0.25,1,0.48592,5.59
163,mp-23302,6.158714635,63378.0625,0.25,0.25,0.25,1,0.48592,5.59
164,mp-23299,5.085084039,130465.44,0.25,0.25,0.25,1,0.48592,5.59
165,mp-23295,5.558319236,130465.44,0.25,0.25,0.25,1,0.48592,5.59
166,mp-23231,6.317759076,1158959.903,0.25,0.25,0.25,1,1.302,4.09
167,mp-23197,0.469382872,404814.0625,4.0,0.0,0.0,5,0.377,3.46
