,descriptor_name,pearson_correlation,pearson_pvalue,pearson_selection,spearman_correlation,spearman_pvalue,spearman_selection,distance_correlation,distance_selection,mic_correlation,mic_selection,sum_1,sum_2,sum_3,sum_4,sum
264,min:fusion_enthalpy,0.12365096301558409,0.013101360412941689,0,0.22589223005520784,4.778592959224209e-06,0,0.2476419137263918,0,0.39949487315765153,1,1,0,0,0,1
265,min:gs_bandgap,0.12902987230460872,0.009602628464155999,0,0.2779111362859413,1.4552037329773005e-08,1,0.2424608239955689,0,0.1906562093593565,1,1,1,0,0,2
266,min:gs_energy,0.14627820022250976,0.0032867505942014235,0,0.16775715985498332,0.0007327858853136449,0,0.2565266740189538,0,0.3748949162733922,1,1,0,0,0,1
267,min:gs_est_bcc_latcnt,0.06583399291534991,0.1877425698720352,0,0.1648193419329508,0.000909764922308687,0,0.21186679270167527,0,0.28182180790293454,1,1,0,0,0,1
268,min:gs_est_fcc_latcnt,0.06583399294094286,0.18774256970007913,0,0.1648193419329508,0.000909764922308687,0,0.21186679268608627,0,0.28182180790293454,1,1,0,0,0,1
269,min:gs_volume_per,0.08276881795910968,0.09748176073694942,0,0.1648193419329508,0.000909764922308687,0,0.2145307238851603,0,0.28182180790293454,1,1,0,0,0,1
270,min:hhi_p,0.09477769760139768,0.05761110007891713,0,0.1163161887359671,0.01965897809045208,0,0.20727533599570927,0,0.18787887899369735,1,1,0,0,0,1
271,min:hhi_r,0.07772673892658796,0.11972755853905122,0,0.15042802510584516,0.0024953453334357672,0,0.15535470493888673,0,0.22881264800345108,1,1,0,0,0,1
272,min:heat_capacity_mass,0.052516658094102026,0.2935333743015684,0,0.1553493878986294,0.0017839027764458189,0,0.19939561333146058,0,0.4185184874853697,1,1,0,0,0,1
273,min:heat_capacity_molar,0.011578098013557088,0.8169846162406995,0,-0.06983530256902659,0.1622512138302021,0,0.26377683277070996,0,0.33773374464526823,1,1,0,0,0,1
274,min:icsd_volume,0.08628877526794367,0.08400232823115542,0,0.032893454454388876,0.510772036651723,0,0.208821266801097,0,0.30734729525898885,1,1,0,0,0,1
