,elem1,elem2,elem3,elem4,comp1,comp2,comp3,comp4,melt_point
926,Mn,Sb,O,Vac,11.11111111111111,22.22222222222222,66.66666666666666,0.0,1588.0875244140625
927,Mn,Se,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,808.4539794921875
928,In,O,Vac,Vac,40.0,60.0,0.0,0.0,2115.80810546875
929,Nd,Co,O,Vac,20.0,20.0,60.0,0.0,2107.282470703125
930,Ca,V,O,Vac,20.0,20.0,60.0,0.0,1089.008544921875
931,Pb,O,Vac,Vac,42.857142857142854,57.14285714285714,0.0,0.0,1089.664794921875
932,Ni,Ge,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1619.5242919921875
933,Tm,Cr,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,2000.630859375
934,In,Ag,O,Vac,25.0,25.0,50.0,0.0,1110.9688720703125
935,Rb,Sr,Nb,O,6.25,12.5,18.75,62.5,1633.3509521484375
936,K,Pb,O,Vac,33.33333333333333,16.666666666666664,50.0,0.0,994.5176391601562
937,Ca,In,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1886.80322265625
938,Fe,B,O,Vac,30.0,10.0,60.0,0.0,1524.2576904296875
939,Na,I,O,Vac,57.14285714285714,28.57142857142857,14.285714285714285,0.0,940.2254028320312
940,Cr,Cl,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,294.6429443359375
941,Bi,I,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,721.484619140625
942,Sb,O,Vac,Vac,33.33333333333333,66.66666666666666,0.0,0.0,1413.465576171875
943,Na,Bi,O,Vac,20.0,20.0,60.0,0.0,1119.016845703125
944,V,Cl,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,451.5539245605469
945,Bi,Mo,O,Vac,22.22222222222222,11.11111111111111,66.66666666666666,0.0,1211.07763671875
946,Bi,Br,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,741.878662109375
947,Bi,Pb,Cl,O,20.0,20.0,20.0,40.0,1008.9095458984375
948,Ba,Bi,Sb,O,20.0,10.0,10.0,60.0,1345.81982421875
949,K,Os,Cl,O,22.22222222222222,11.11111111111111,44.44444444444444,22.22222222222222,693.8617553710938
950,Na,Hg,I,O,16.666666666666664,33.33333333333333,16.666666666666664,33.33333333333333,493.8699951171875
951,Sr,Co,Br,O,28.57142857142857,14.285714285714285,28.57142857142857,28.57142857142857,964.5860595703125
952,Cu,Bi,Se,O,25.0,25.0,25.0,25.0,1199.259765625
953,K,As,I,O,8.333333333333332,33.33333333333333,8.333333333333332,50.0,549.2855834960938
954,Sr,Co,Cl,O,28.57142857142857,14.285714285714285,28.57142857142857,28.57142857142857,943.1978149414062
955,Ba,Y,Bi,O,20.0,10.0,10.0,60.0,1705.6531982421875
956,Sb,Pb,Cl,O,20.0,20.0,20.0,40.0,587.3854370117188
957,Bi,W,O,Vac,22.22222222222222,11.11111111111111,66.66666666666666,0.0,1348.106201171875
958,Hg,Cl,O,Vac,37.5,50.0,12.5,0.0,487.0447998046875
959,Bi,Pt,O,Vac,18.181818181818183,18.181818181818183,63.63636363636363,0.0,1115.24951171875
960,Ge,Bi,O,Vac,3.0303030303030303,36.36363636363637,60.60606060606061,0.0,1142.8751220703125
961,Sr,Bi,O,Vac,22.22222222222222,22.22222222222222,55.55555555555556,0.0,1456.217041015625
962,Hg,Cl,O,Vac,45.45454545454545,18.181818181818183,36.36363636363637,0.0,488.36163330078125
963,Na,O,Vac,Vac,50.0,50.0,0.0,0.0,859.910888671875
964,Ti,Bi,O,Vac,15.789473684210526,21.052631578947366,63.1578947368421,0.0,1243.4522705078125
965,Bi,W,O,Vac,22.22222222222222,11.11111111111111,66.66666666666666,0.0,1348.106201171875
966,Si,Bi,O,Vac,3.0303030303030303,36.36363636363637,60.60606060606061,0.0,1116.572265625
967,Ce,I,O,Vac,5.88235294117647,23.52941176470588,70.58823529411765,0.0,651.273193359375
968,Ti,Bi,O,Vac,3.0303030303030303,36.36363636363637,60.60606060606061,0.0,1200.792724609375
969,Fe,Bi,O,Vac,20.0,20.0,60.0,0.0,1208.7725830078125
970,Na,O,Vac,Vac,66.66666666666666,33.33333333333333,0.0,0.0,1326.0362548828125
971,Hg,Br,O,Vac,45.45454545454545,18.181818181818183,36.36363636363637,0.0,433.39801025390625
972,Ag,Bi,O,Vac,33.33333333333333,16.666666666666664,50.0,0.0,925.6259155273438
973,K,I,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,765.0550537109375
974,Cr,Ag,Bi,O,20.0,5.0,5.0,70.0,944.8382568359375
