,ID,Name,T,density,ave:en_allen,ave:vdw_radius,sum:num_unfilled,var:boiling_point,var:hhi_p,var:num_unfilled,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:hhi_p,max:num_unfilled,max:num_p_unfilled,max:num_s_unfilled,min:electron_affinity,min:lattice_constant,min:num_s_valence,DC1,PC2,SC4
111,mp-1202258,Nd2Nb2S7O30,500,3.173631545,18.86450262,164.2439024,216,1509862.714,6334515.17,3.939321832,0.352171327,0.046400952,0.046400952,9500,10,2,1,0.917406,3.3,1,13.72606521,1.326460424,2161.397495
112,mp-1202414,Nd10Se14O,500,6.584323485,10.64372151,208.08,520,1457877.028,13297696,15.36,0.96,0,0,9500,10,2,0,1.4611135,3.66,2,12.79102878,1,1980.160338
113,mp-1202692,Eu5B3ClO9,500,6.011498128,15.58875015,183,138,2033856.7,14780246.91,5.138888889,2.654320988,0,0,9500,7,5,0,0.279723,4.61,2,13.35738554,1,1482.201489
114,mp-1203289,CsGeSbO5,500,4.899214092,16.77975,190,288,1134197.974,8611093.75,0.6875,1.109375,0.109375,0.109375,7900,4,4,1,0.471626,4.51,1,13.72527103,1,1490.457968
115,mp-1203636,BaPr2In2O7,500,6.753759538,15.25742,183.1666667,184,2094550.163,10596875,11.97222222,2.5,0,0,9500,11,5,0,0.14462,3.67,2,8.989650249,1,1930.568395
116,mp-1204194,Gd3MoO7,500,7.379998469,16.1293832,180.2727273,272,3439228.655,15516528.93,37.4214876,0.925619835,0.082644628,0.082644628,9500,16,2,1,0.748,3.15,1,12.41596598,1,2293.545549
117,mp-1204213,Tb2Nb2S7O30,500,3.392815424,18.98664309,163.9512195,196,1497906.149,6334515.17,1.506246282,0.352171327,0.046400952,0.046400952,9500,7,2,1,0.917406,3.3,1,13.66427161,1.314722739,2114.341451
118,mp-1204264,In12Ga4Ir2O15,500,7.259070825,15.13321212,174.8484848,232,1846261.125,3681983.471,2.12855831,2.828282828,0,0,5500,5,5,0,0.3,3.84,2,9.8698066,3.853914574,1286.32268
119,mp-1204595,Gd4Si2S3O7,500,6.080629295,15.2313096,185,368,2169998.709,14552343.75,35.4375,1.4375,0,0,9500,16,4,0,1.3895211,3.64,2,13.03472779,1,2018.320063
120,mp-1204935,Dy2Nb2S7O30,500,3.436288489,19.05190778,163.8536585,192,1386241.548,6334515.17,1.298036883,0.352171327,0.046400952,0.046400952,9500,7,2,1,0.352,3.3,1,13.46938336,2.95721809,2126.66204
121,mp-1205188,NdCO4,500,4.831093829,17.48121729,169.5,396,4048831.349,11250000,8.555555556,1.333333333,0,0,9500,10,4,0,1.262119,3.57,2,13.46909517,1,1871.755848
122,mp-1205330,Ca3SiO,500,2.592332584,10.2058,211,12,682046.773,2169600,2.56,2.56,0,0,4700,4,4,0,0.02455,5.43,2,14.39820095,1.142781395,840.9856545
123,mp-1205336,BaMnO3,500,5.545244709,15.9262,185.8,44,953655.2047,973600,2.56,0.96,0,0,3000,5,2,0,0.14462,5.02,2,13.70898021,2.309980307,886.6757848
124,mp-1205366,LuRhO3,500,9.523534119,15.9588,178,72,3374889.596,12182400,7.44,0.96,0.16,0.16,9500,9,2,1,0.34,3.51,1,13.49158334,1,1932.911807
125,mp-1205468,BaNb8O14,500,6.05768266,16.12917391,180,672,5368454.658,14172967.86,6.139886578,0.952741021,0.2268431,0.2268431,8500,7,2,1,0.14462,3.3,1,12.4292162,1,1927.073475
126,mp-1205507,Eu2MgWO6,500,7.868173097,15.84750011,177.3,32,3066920.274,14144100,5.56,0.96,0,0,9500,7,2,0,0.81626,3.16,2,12.75767834,1,2136.293536
127,mp-1205650,Ba2TaTlO6,500,8.091376181,15.915239,186.6,24,2890672.722,3535600,4.04,2.01,0,0,6500,7,5,0,0.14462,3.31,2,13.12976419,1.585164008,1786.839742
